5,why are yawns contagious?
6,what is trans fat? how to reduce that? i heard that tras fat is bad for the body.  why is that? where can we find it in our daily food?
1,roth ira vs 401k? what is the difference between roth ira and 401k? when should i prefer one over the other?
1,how many planes fedex has? i heard that it is the largest airline in the world
2,what is the best photo slideshow creation application what is the best photo slideshow creation application
3,what was the first dvd you ever bought? what was the first dvd you ever bought?
2,what is the singel most important thing you are missing on the internet ? what is the single most important thing you are missing on the internet ?
3,is lin qingxia (aka brigitte lin) the most beautiful woman in chinese cinema? this is according to stephen chow (http://www.hkentreview.com/2005/features/kfh/kfhprem.html). is it true? who is the best-looking male star? did they make any movies together?
5,who said the statement below and what does it mean? can someone help me with understanding someone else's wisdom
5,how do i find an out of print book? when i was a kid i remember seeing a book that was like an yearbook of all newspapers published by the times during ww ii. each of the years is compiled into a different book. &#xd;&lt;br&gt;it gave one a very uniqie perspecitev into the uk druing the war
1,what are some tips on finding a good mortgage broker? what are some tips on finding a good mortgage broker?
4,what is the reason for the increasing divorce percentage in the western world? what is the most common parameter that causing couples to separate
7,what is an imaginary number? what is an imaginary number
6,treatments for gout? my father has gout. what are the best treatments for it?
7,faxing a pizza would we be able to fax a pizza in the future? how far are we from creating a machine that can beam people from one place to another?
7,heavy water what is the role that heavy water plays in the nuclear explosion process?
3,when will her majesty be released in dvd format? her majesty was a movie in limited release early in 2005.  i am interested in getting a copy of it in dvd format upon release.
5,how to get rid of a beehive? who can tell me how to get rid of a beehive with out getting stung?
1,nice apartment building near sbc park? any recommendations for a nice apartment building in sf generally in the sbc park area?
7,what are world's 3 smallest nations? i.e.&#xd;&lt;br&gt;which is the smallest nation?&#xd;&lt;br&gt;which is the next one in size?&#xd;&lt;br&gt;and then the next one?&#xd;&lt;br&gt;&lt;br&gt;how did they manage to become countries?
1,what is the best riddle that you know? i'm trying to have a library of the best riddles that people encountered. so a good riddle would be a riddle that has no ugly tricks in it- pure logic answer – no tricks
1,economics of running a restaurant? running a restaurant looks like hard work and long hours. &#xd;&lt;br&gt;&lt;br&gt;what percentage of restaurants are profitable?  and what is the average revenue and net income of a small restaurant?
7,why do gas stations mix ethanol into gas? why do gas stations mix ethanol into gas?
4,won't the concept of arranged marriage go away eventually? i think it will fade away.
5,which are the best k-12 public schools in the sf bay area? which are the best k-12 public schools in the sf bay area?
7,how do male penguins survive without eating for four months? how do male penguins survive without eating for the four winter months while hatching their youngs
5,what's the longest english word without a vowel in it? and what does that word mean if it's not a common word.
7,how was einstein's general relativity theory proven ? when was it
7,how does a helicopter fly this is a miracle- i always wanted to learn to fly one of those. can someone explain how can it get airborne?
5,why would big ten keep its name inspite of adding a 11th school? [colleges &amp; univs]&#xd;&lt;br&gt;&lt;br&gt;upto 1980s and early 90s
5,how come fire trucks are red? how come fire trucks are red?
7,a baby's eyes why does all babies have relatively large eyes
7,capturing light in a container can we capture light in a container? will it run and shine forever? what kind of internal material we should use in order to do that?
3,can someone give me background on william shattner? he is my favorite actor.
3,why do some dvds freeze up during playback? how come some dvd's freeze during playback
1,when will google buy yahoo? the two businesses are very complementary in terms of strengths and weaknesses. do we want to beat ourselves up competing with each other for resources and market share
7,do animals have feelings? can an animal feel regrets 
1,why is there often a mirror in an elevator? what is the history behind it?
1,what's the best investment when interest rate goes higher? what's the best investment when interest rate goes higher?  `stocks`? or 'bonds'? or cds?
7,can someone explain the theory of e=mc2? i have forgotten what this means.
5,where did term tie the knot come from? what's the origin of the notion of marriage as tying the knot?
3,what's the cheapest source for ordering dvds from asia? what's the cheapest source for ordering dvds from asia?
7,what causes air turbulence while flying? how can pilots tell when it is coming up?  how can they tell how severe it will be?  how about in dry/hot climates?
5,what was james bond's wife's name? i seem to be having my temporary memory lapse and can't seem to be recollecting my deceased wife's name. can someone help?&#xd;&lt;br&gt;&lt;br&gt;-- 007
1,how do i take my money out of 401k without penalty? if i change a job
5,what is the history of seeing eye dogs? what is the history of seeing eye dogs?
1,what are the steps required to edit
1,condo/townhouse pricing in san jose
7,how long does take a space craft to get from the earth to the moon? astronomy. i would like to know how many days hours
7,at what level are math olympiads held for kids? do math olympiads begin at elementary level or at middle or at high school?
5,for coliege admission
4,how do you know if you're in love? is it possible to know for sure?
7,what is the cause for headaches i have a really bad one now so wondering
